VJcombo	Pt5_pre_S0089505_Reads	Pt5_pre_S0089505_Freq
TRBV19-1.TRBJ2-2	26	0.00138084869085
TRBV19-1.TRBJ2-1	135	0.00716979127941
TRBV6-9.TRBJ2-5	1	5.31095650327e-05
TRBV6-9.TRBJ2-7	1	5.31095650327e-05
TRBV6-9.TRBJ2-2	2	0.000106219130065
TRBV6-9.TRBJ1-5	1	5.31095650327e-05
TRBV6-9.TRBJ1-2	1	5.31095650327e-05
TRBV6-9.TRBJ1-1	1	5.31095650327e-05
TRBV19-1.TRBJ1-4	77	0.00408943650752
TRBV19-1.TRBJ1-5	49	0.0026023686866
TRBV19-1.TRBJ1-6	4	0.000212438260131
TRBV19-1.TRBJ1-1	337	0.017897923416
TRBV19-1.TRBJ1-2	77	0.00408943650752
TRBV19-1.TRBJ1-3	20	0.00106219130065
TRBV5-4.TRBJ1-5	8	0.000424876520261
TRBV5-4.TRBJ1-4	11	0.000584205215359
TRBV5-4.TRBJ1-1	39	0.00207127303627
TRBV5-4.TRBJ1-3	1	5.31095650327e-05
TRBV5-4.TRBJ1-2	20	0.00106219130065
TRBV5-4.TRBJ2-6	1	5.31095650327e-05
TRBV5-4.TRBJ2-7	45	0.00238993042647
TRBV5-4.TRBJ2-5	17	0.000902862605555
TRBV5-4.TRBJ2-2	19	0.00100908173562
TRBV5-4.TRBJ2-3	22	0.00116841043072
TRBV5-4.TRBJ2-1	17	0.000902862605555
TRBV18-1.TRBJ1-1	129	0.00685113388921
TRBV18-1.TRBJ1-3	12	0.000637314780392
TRBV18-1.TRBJ1-2	23	0.00122151999575
TRBV18-1.TRBJ1-5	9	0.000477986085294
TRBV18-1.TRBJ1-4	16	0.000849753040523
TRBV18-1.TRBJ1-6	7	0.000371766955229
TRBV25-1.TRBJ2-6	1	5.31095650327e-05
TRBV25-1.TRBJ2-7	6	0.000318657390196
TRBV6-5.TRBJ2-2	114	0.00605449041372
TRBV25-1.TRBJ2-5	5	0.000265547825163
TRBV6-5.TRBJ2-4	2	0.000106219130065
TRBV21-1.TRBJ1-6	3	0.000159328695098
TRBV6-5.TRBJ2-5	22	0.00116841043072
TRBV18-1.TRBJ2-2	8	0.000424876520261
TRBV18-1.TRBJ2-3	26	0.00138084869085
TRBV18-1.TRBJ2-1	14	0.000743533910457
TRBV18-1.TRBJ2-6	2	0.000106219130065
TRBV18-1.TRBJ2-7	29	0.00154017738595
TRBV18-1.TRBJ2-4	5	0.000265547825163
TRBV18-1.TRBJ2-5	22	0.00116841043072
TRBV20-1.TRBJ1-3	19	0.00100908173562
TRBV21-1.TRBJ2-2	3	0.000159328695098
TRBV29-1.TRBJ1-1	44	0.00233682086144
TRBV6-4.TRBJ1-2	10	0.000531095650327
TRBV29-1.TRBJ1-3	4	0.000212438260131
TRBV29-1.TRBJ1-2	25	0.00132773912582
TRBV29-1.TRBJ1-5	6	0.000318657390196
TRBV29-1.TRBJ1-4	5	0.000265547825163
TRBV29-1.TRBJ1-6	2	0.000106219130065
TRBV29-1.TRBJ2-2	14	0.000743533910457
TRBV29-1.TRBJ2-3	39	0.00207127303627
TRBV29-1.TRBJ2-1	34	0.00180572521111
TRBV29-1.TRBJ2-6	4	0.000212438260131
TRBV29-1.TRBJ2-7	30	0.00159328695098
TRBV29-1.TRBJ2-4	4	0.000212438260131
TRBV29-1.TRBJ2-5	8	0.000424876520261
TRBV12-2.TRBJ1-4	1	5.31095650327e-05
TRBV15-1.TRBJ1-1	12	0.000637314780392
TRBV15-1.TRBJ1-2	7	0.000371766955229
TRBV15-1.TRBJ1-3	9	0.000477986085294
TRBV15-1.TRBJ1-4	3	0.000159328695098
TRBV15-1.TRBJ1-5	6	0.000318657390196
TRBV15-1.TRBJ1-6	8	0.000424876520261
TRBV7-8.TRBJ1-3	4	0.000212438260131
TRBV5-8.TRBJ1-6	1	5.31095650327e-05
TRBV7-8.TRBJ1-2	10	0.000531095650327
TRBV7-8.TRBJ1-1	23	0.00122151999575
TRBV6-5.TRBJ1-4	8	0.000424876520261
TRBV4-3.TRBJ1-6	13	0.000690424345425
TRBV4-3.TRBJ1-5	37	0.00196505390621
TRBV3-1.TRBJ2-5	14	0.000743533910457
TRBV3-1.TRBJ2-4	3	0.000159328695098
TRBV3-1.TRBJ2-7	55	0.0029210260768
TRBV4-3.TRBJ1-4	64	0.00339901216209
TRBV3-1.TRBJ2-1	23	0.00122151999575
TRBV3-1.TRBJ2-3	71	0.00377077911732
TRBV3-1.TRBJ2-2	46	0.0024430399915
TRBV3-1.TRBJ1-6	90	0.00477986085294
TRBV13-1.TRBJ2-4	2	0.000106219130065
TRBV13-1.TRBJ2-7	20	0.00106219130065
TRBV3-1.TRBJ1-5	13	0.000690424345425
TRBV3-1.TRBJ1-2	16	0.000849753040523
TRBV3-1.TRBJ1-3	12	0.000637314780392
TRBV3-1.TRBJ1-1	60	0.00318657390196
TRBV13-1.TRBJ1-4	2	0.000106219130065
TRBV13-1.TRBJ1-2	1	5.31095650327e-05
TRBV13-1.TRBJ1-1	5	0.000265547825163
TRBV15-1.TRBJ2-3	10	0.000531095650327
TRBV15-1.TRBJ2-2	4	0.000212438260131
TRBV15-1.TRBJ2-1	12	0.000637314780392
TRBV15-1.TRBJ2-7	71	0.00377077911732
TRBV15-1.TRBJ2-6	2	0.000106219130065
TRBV15-1.TRBJ2-5	6	0.000318657390196
TRBV15-1.TRBJ2-4	1	5.31095650327e-05
TRBV10-1.TRBJ1-1	11	0.000584205215359
TRBV10-1.TRBJ1-3	1	5.31095650327e-05
TRBV10-1.TRBJ1-5	1	5.31095650327e-05
TRBV5-8.TRBJ1-1	1	5.31095650327e-05
TRBV10-1.TRBJ2-3	5	0.000265547825163
TRBV5-8.TRBJ1-3	1	5.31095650327e-05
TRBV5-8.TRBJ1-2	8	0.000424876520261
TRBV5-8.TRBJ1-5	3	0.000159328695098
TRBV10-1.TRBJ2-7	4	0.000212438260131
TRBV10-1.TRBJ2-5	2	0.000106219130065
TRBV11-3.TRBJ2-1	18	0.000955972170588
TRBV5-8.TRBJ2-3	6	0.000318657390196
TRBV11-3.TRBJ2-3	8	0.000424876520261
TRBV11-3.TRBJ2-2	7	0.000371766955229
TRBV11-3.TRBJ2-5	4	0.000212438260131
TRBV5-8.TRBJ2-7	16	0.000849753040523
TRBV11-3.TRBJ2-7	8	0.000424876520261
TRBV5-8.TRBJ2-5	4	0.000212438260131
TRBV11-3.TRBJ1-3	1	5.31095650327e-05
TRBV11-3.TRBJ1-1	5	0.000265547825163
TRBV11-3.TRBJ1-5	4	0.000212438260131
TRBV12-2.TRBJ2-7	9	0.000477986085294
TRBV12-2.TRBJ2-4	1	5.31095650327e-05
TRBV12-2.TRBJ2-2	1	5.31095650327e-05
TRBV5-1.TRBJ1-1	82	0.00435498433268
TRBV5-1.TRBJ1-2	44	0.00233682086144
TRBV5-1.TRBJ1-3	18	0.000955972170588
TRBV5-1.TRBJ1-4	11	0.000584205215359
TRBV5-1.TRBJ1-5	18	0.000955972170588
TRBV5-1.TRBJ1-6	416	0.0220935790536
TRBV23-1.TRBJ1-3	2	0.000106219130065
