VJcombo	TCR22A.BC1_Reads	TCR22A.BC1_Freq
TRAV3.TRAJ5	1229	0.000209324744603
TRAV26-2.TRAJ39	4331	0.000737661081267
TRAV3.TRAJ3	1	1.70321191703e-07
TRAV8-4.TRAJ20	2613	0.000445049273921
TRAV12-3.TRAJ13	959	0.000163338022843
TRAV26-2.TRAJ34	682	0.000116159052742
TRAV26-2.TRAJ37	129	2.19714337297e-05
TRAV12-3.TRAJ10	450	7.66445362665e-05
TRAV26-2.TRAJ31	7311	0.00124521823254
TRAV12-3.TRAJ15	66	1.12411986524e-05
TRAV8-4.TRAJ28	62	1.05599138856e-05
TRAV8-1.TRAJ15	8	1.36256953363e-06
TRAV30.TRAJ48	1	1.70321191703e-07
TRAV10.TRAJ29	1	1.70321191703e-07
TRAV6.TRAJ26	1	1.70321191703e-07
TRAV6.TRAJ27	1	1.70321191703e-07
TRAV30.TRAJ40	3	5.1096357511e-07
TRAV6.TRAJ22	2	3.40642383407e-07
TRAV30.TRAJ47	21	3.57674502577e-06
TRAV30.TRAJ44	12	2.04385430044e-06
TRAV30.TRAJ45	1	1.70321191703e-07
TRAV1-1.TRAJ28	21	3.57674502577e-06
TRAV41.TRAJ12	2	3.40642383407e-07
TRAV3.TRAJ40	2	3.40642383407e-07
TRAV26-1.TRAJ45	11452	0.00195051828739
TRAV4.TRAJ43	8	1.36256953363e-06
TRAV4.TRAJ40	15	2.55481787555e-06
TRAV4.TRAJ41	26	4.42835098429e-06
TRAV26-1.TRAJ41	22873	0.00389575661783
TRAV21.TRAJ27	740	0.00012603768186
TRAV4.TRAJ44	15	2.55481787555e-06
TRAV26-1.TRAJ42	32355	0.00551074215756
TRAV4.TRAJ48	51	8.68638077687e-06
TRAV21.TRAJ29	114	1.94166158542e-05
TRAV8-2.TRAJ45	22	3.74706621747e-06
TRAV26-1.TRAJ48	96681	0.0164668231351
TRAV13-1.TRAJ38	2	3.40642383407e-07
TRAV13-1.TRAJ39	15726	0.00267847106073
TRAV14DV4.TRAJ4	1853	0.000315605168226
TRAV14DV4.TRAJ5	23767	0.00404802376321
TRAV8-4.TRAJ37	1	1.70321191703e-07
TRAV14DV4.TRAJ3	1030	0.000175430827454
TRAV34.TRAJ47	24	4.08770860088e-06
TRAV13-1.TRAJ30	2	3.40642383407e-07
TRAV13-1.TRAJ32	2	3.40642383407e-07
TRAV4.TRAJ47	6	1.02192715022e-06
TRAV13-1.TRAJ34	12	2.04385430044e-06
TRAV13-1.TRAJ36	2	3.40642383407e-07
TRAV13-1.TRAJ37	20	3.40642383407e-06
TRAV41.TRAJ11	5	8.51605958517e-07
TRAV34.TRAJ45	11923	0.00203073956868
TRAV5.TRAJ48	1	1.70321191703e-07
TRAV10.TRAJ24	1	1.70321191703e-07
TRAV3.TRAJ9	5	8.51605958517e-07
TRAV12-1.TRAJ56	1	1.70321191703e-07
TRAV12-2.TRAJ24	3	5.1096357511e-07
TRAV5.TRAJ8	3	5.1096357511e-07
TRAV5.TRAJ9	40782	0.00694603884004
TRAV29DV5.TRAJ45	153	2.60591423306e-05
TRAV8-2.TRAJ37	1	1.70321191703e-07
TRAV8-1.TRAJ43	4	6.81284766813e-07
TRAV5.TRAJ3	44266	0.00753943787194
TRAV5.TRAJ4	3	5.1096357511e-07
TRAV5.TRAJ5	4	6.81284766813e-07
TRAV5.TRAJ6	11458	0.00195154021454
TRAV5.TRAJ7	1	1.70321191703e-07
TRAV34.TRAJ18	1	1.70321191703e-07
TRAV12-2.TRAJ28	20	3.40642383407e-06
TRAV12-2.TRAJ50	62	1.05599138856e-05
TRAV34.TRAJ10	16	2.72513906725e-06
TRAV34.TRAJ13	46296	0.0078851898911
TRAV12-2.TRAJ53	11	1.87353310874e-06
TRAV34.TRAJ15	5	8.51605958517e-07
TRAV12-2.TRAJ56	2899	0.000493761134748
TRAV20.TRAJ15	15	2.55481787555e-06
TRAV20.TRAJ17	8	1.36256953363e-06
TRAV2.TRAJ39	10	1.70321191703e-06
TRAV20.TRAJ11	21	3.57674502577e-06
TRAV20.TRAJ12	2	3.40642383407e-07
TRAV20.TRAJ13	21971	0.00374212690291
TRAV2.TRAJ34	30	5.1096357511e-06
TRAV2.TRAJ37	275295	0.04688857247
TRAV12-1.TRAJ52	4109	0.000699849776709
TRAV2.TRAJ31	5	8.51605958517e-07
