VJcombo	Pt108_pre_Reads	Pt108_pre_Freq
TRBV5-5.TRBJ2-1	5	0.00037910379862
TRBV6-5.TRBJ1-3	24	0.00181969823338
TRBV6-5.TRBJ1-2	33	0.00250208507089
TRBV6-5.TRBJ1-1	66	0.00500417014178
TRBV30-1.TRBJ2-7	1	7.5820759724e-05
TRBV6-5.TRBJ1-6	2	0.000151641519448
TRBV6-5.TRBJ1-5	27	0.00204716051255
TRBV6-5.TRBJ1-4	15	0.00113731139586
TRBV1-1.TRBJ2-1	1	7.5820759724e-05
TRBV25-1.TRBJ2-7	5	0.00037910379862
TRBV5-8.TRBJ2-5	4	0.000303283038896
TRBV12-5.TRBJ1-6	1	7.5820759724e-05
TRBV12-5.TRBJ1-5	1	7.5820759724e-05
TRBV12-5.TRBJ1-4	1	7.5820759724e-05
TRBV12-5.TRBJ1-1	10	0.00075820759724
TRBV7-3.TRBJ1-4	4	0.000303283038896
TRBV7-3.TRBJ1-5	5	0.00037910379862
TRBV7-3.TRBJ1-6	1	7.5820759724e-05
TRBV7-3.TRBJ1-1	55	0.00417014178482
TRBV7-3.TRBJ1-2	31	0.00235044355144
TRBV7-3.TRBJ1-3	10	0.00075820759724
TRBV6-2.TRBJ2-1	53	0.00401850026537
TRBV20-1.TRBJ2-7	277	0.0210023504436
TRBV12-5.TRBJ2-4	5	0.00037910379862
TRBV12-5.TRBJ2-6	2	0.000151641519448
TRBV12-5.TRBJ2-7	1	7.5820759724e-05
TRBV12-5.TRBJ2-1	6	0.000454924558344
TRBV12-5.TRBJ2-2	4	0.000303283038896
TRBV12-5.TRBJ2-3	2	0.000151641519448
TRBV20-1.TRBJ2-6	3	0.000227462279172
TRBV7-3.TRBJ2-7	17	0.00128895291531
TRBV7-3.TRBJ2-6	6	0.000454924558344
TRBV7-3.TRBJ2-5	40	0.00303283038896
TRBV7-3.TRBJ2-3	34	0.00257790583062
TRBV7-3.TRBJ2-2	17	0.00128895291531
TRBV7-3.TRBJ2-1	80	0.00606566077792
TRBV1-1.TRBJ1-1	2	0.000151641519448
TRBV5-3.TRBJ2-7	2	0.000151641519448
TRBV5-3.TRBJ2-1	1	7.5820759724e-05
TRBV5-3.TRBJ2-3	2	0.000151641519448
TRBV5-3.TRBJ1-2	9	0.000682386837516
TRBV5-3.TRBJ1-1	1	7.5820759724e-05
TRBV2-1.TRBJ1-3	11	0.000834028356964
TRBV2-1.TRBJ1-2	55	0.00417014178482
TRBV2-1.TRBJ1-1	186	0.0141026613087
TRBV1-1.TRBJ2-2	2	0.000151641519448
TRBV2-1.TRBJ1-5	86	0.00652058533627
TRBV2-1.TRBJ1-4	22	0.00166805671393
TRBV5-5.TRBJ1-4	4	0.000303283038896
TRBV5-5.TRBJ1-5	7	0.000530745318068
TRBV30-1.TRBJ2-2	1	7.5820759724e-05
TRBV30-1.TRBJ2-3	4	0.000303283038896
TRBV5-5.TRBJ1-1	13	0.000985669876412
TRBV5-5.TRBJ1-2	24	0.00181969823338
TRBV20-1.TRBJ2-4	17	0.00128895291531
TRBV5-5.TRBJ2-7	24	0.00181969823338
TRBV30-1.TRBJ1-2	1	7.5820759724e-05
TRBV5-5.TRBJ2-5	3	0.000227462279172
TRBV5-5.TRBJ2-3	7	0.000530745318068
TRBV5-5.TRBJ2-2	2	0.000151641519448
TRBV30-1.TRBJ1-5	2	0.000151641519448
TRBV25-1.TRBJ2-1	16	0.00121313215558
TRBV6-8.TRBJ2-7	1	7.5820759724e-05
TRBV19-1.TRBJ2-7	141	0.0106907271211
TRBV19-1.TRBJ2-6	8	0.000606566077792
TRBV19-1.TRBJ2-5	35	0.00265372659034
TRBV19-1.TRBJ2-4	4	0.000303283038896
TRBV19-1.TRBJ2-3	37	0.00280536810979
TRBV19-1.TRBJ2-2	233	0.0176662370157
TRBV19-1.TRBJ2-1	98	0.00743043445295
TRBV6-9.TRBJ2-7	1	7.5820759724e-05
TRBV6-9.TRBJ1-5	1	7.5820759724e-05
TRBV6-9.TRBJ1-3	1	7.5820759724e-05
TRBV19-1.TRBJ1-4	12	0.000909849116688
TRBV19-1.TRBJ1-5	48	0.00363939646675
TRBV19-1.TRBJ1-6	1	7.5820759724e-05
TRBV19-1.TRBJ1-1	58	0.00439760406399
TRBV19-1.TRBJ1-2	57	0.00432178330427
TRBV19-1.TRBJ1-3	5	0.00037910379862
TRBV5-4.TRBJ1-5	5	0.00037910379862
TRBV5-4.TRBJ1-4	14	0.00106149063614
TRBV5-4.TRBJ1-6	2	0.000151641519448
TRBV5-4.TRBJ1-1	6	0.000454924558344
TRBV5-4.TRBJ1-3	5	0.00037910379862
TRBV5-4.TRBJ1-2	28	0.00212298127227
TRBV5-4.TRBJ2-7	43	0.00326029266813
TRBV5-4.TRBJ2-5	51	0.00386685874592
TRBV5-4.TRBJ2-2	13	0.000985669876412
TRBV5-4.TRBJ2-3	21	0.0015922359542
TRBV5-4.TRBJ2-1	16	0.00121313215558
TRBV18-1.TRBJ1-1	67	0.00507999090151
TRBV18-1.TRBJ1-3	5	0.00037910379862
TRBV18-1.TRBJ1-2	20	0.00151641519448
TRBV18-1.TRBJ1-5	41	0.00310865114868
TRBV18-1.TRBJ1-4	16	0.00121313215558
TRBV18-1.TRBJ1-6	2	0.000151641519448
TRBV12-1.TRBJ2-1	1	7.5820759724e-05
TRBV12-1.TRBJ2-2	1	7.5820759724e-05
TRBV6-5.TRBJ2-1	28	0.00212298127227
TRBV25-1.TRBJ2-4	2	0.000151641519448
TRBV25-1.TRBJ2-5	3	0.000227462279172
TRBV6-5.TRBJ2-4	6	0.000454924558344
TRBV25-1.TRBJ2-3	6	0.000454924558344
TRBV18-1.TRBJ2-2	14	0.00106149063614
TRBV18-1.TRBJ2-3	28	0.00212298127227
TRBV18-1.TRBJ2-1	73	0.00553491545985
TRBV18-1.TRBJ2-6	12	0.000909849116688
TRBV6-5.TRBJ2-6	2	0.000151641519448
TRBV18-1.TRBJ2-4	8	0.000606566077792
TRBV18-1.TRBJ2-5	14	0.00106149063614
TRBV20-1.TRBJ1-3	15	0.00113731139586
TRBV29-1.TRBJ1-1	43	0.00326029266813
TRBV5-6.TRBJ1-3	1	7.5820759724e-05
TRBV29-1.TRBJ1-3	5	0.00037910379862
TRBV29-1.TRBJ1-2	36	0.00272954735006
TRBV29-1.TRBJ1-5	8	0.000606566077792
TRBV29-1.TRBJ1-4	2	0.000151641519448
TRBV29-1.TRBJ2-2	15	0.00113731139586
TRBV29-1.TRBJ2-3	24	0.00181969823338
TRBV29-1.TRBJ2-1	27	0.00204716051255
TRBV29-1.TRBJ2-6	2	0.000151641519448
TRBV29-1.TRBJ2-7	33	0.00250208507089
TRBV29-1.TRBJ2-4	1	7.5820759724e-05
TRBV29-1.TRBJ2-5	9	0.000682386837516
TRBV6-1.TRBJ2-7	51	0.00386685874592
TRBV5-6.TRBJ1-4	5	0.00037910379862
TRBV20-1.TRBJ1-6	2	0.000151641519448
TRBV12-2.TRBJ1-4	1	7.5820759724e-05
TRBV12-2.TRBJ1-1	2	0.000151641519448
TRBV15-1.TRBJ1-1	7	0.000530745318068
TRBV15-1.TRBJ1-2	5	0.00037910379862
TRBV15-1.TRBJ1-3	1	7.5820759724e-05
TRBV15-1.TRBJ1-4	5	0.00037910379862
TRBV15-1.TRBJ1-5	15	0.00113731139586
TRBV15-1.TRBJ1-6	1	7.5820759724e-05
TRBV4-3.TRBJ1-3	6	0.000454924558344
TRBV7-8.TRBJ1-2	37	0.00280536810979
TRBV4-3.TRBJ1-1	7	0.000530745318068
TRBV4-3.TRBJ1-5	14	0.00106149063614
TRBV3-1.TRBJ2-5	38	0.00288118886951
TRBV3-1.TRBJ2-4	6	0.000454924558344
TRBV3-1.TRBJ2-7	54	0.0040943210251
