VJcombo	EC08_Reads	EC08_Freq
TRBV7-3.TRBJ2-2	57	0.00131451501315
TRBV7-3.TRBJ2-1	64	0.00147594668143
TRBV1-1.TRBJ1-4	1	2.30616668973e-05
TRBV1-1.TRBJ1-5	5	0.000115308334486
TRBV1-1.TRBJ1-1	1	2.30616668973e-05
TRBV1-1.TRBJ1-2	8	0.000184493335178
TRBV5-3.TRBJ2-5	5	0.000115308334486
TRBV5-3.TRBJ2-4	1	2.30616668973e-05
TRBV5-3.TRBJ2-7	16	0.000368986670357
TRBV5-3.TRBJ2-1	6	0.000138370001384
TRBV5-3.TRBJ2-3	13	0.000299801669665
TRBV5-3.TRBJ2-2	6	0.000138370001384
TRBV5-3.TRBJ1-6	4	9.22466675891e-05
TRBV5-3.TRBJ1-4	3	6.91850006919e-05
TRBV5-3.TRBJ1-5	7	0.000161431668281
TRBV5-3.TRBJ1-2	4	9.22466675891e-05
TRBV5-3.TRBJ1-3	1	2.30616668973e-05
TRBV5-3.TRBJ1-1	7	0.000161431668281
TRBV2-1.TRBJ1-3	80	0.00184493335178
TRBV2-1.TRBJ1-2	374	0.00862506341958
TRBV2-1.TRBJ1-1	401	0.00924772842581
TRBV1-1.TRBJ2-4	3	6.91850006919e-05
TRBV1-1.TRBJ2-3	1	2.30616668973e-05
TRBV2-1.TRBJ1-6	123	0.00283658502837
TRBV2-1.TRBJ1-5	217	0.00500438171671
TRBV2-1.TRBJ1-4	121	0.00279046169457
TRBV5-5.TRBJ1-4	27	0.000622665006227
TRBV5-5.TRBJ1-5	34	0.000784096674508
TRBV30-1.TRBJ2-2	96	0.00221392002214
TRBV30-1.TRBJ2-3	117	0.00269821502698
TRBV30-1.TRBJ2-4	8	0.000184493335178
TRBV5-5.TRBJ1-1	53	0.00122226834556
TRBV5-5.TRBJ1-2	61	0.00140676168073
TRBV30-1.TRBJ2-7	206	0.00475070338084
TRBV30-1.TRBJ1-3	71	0.00163737834971
TRBV30-1.TRBJ1-2	230	0.00530418338638
TRBV30-1.TRBJ1-1	216	0.00498132004981
TRBV5-5.TRBJ2-4	3	6.91850006919e-05
TRBV5-5.TRBJ2-3	35	0.000807158341405
TRBV30-1.TRBJ1-6	84	0.00193718001937
TRBV30-1.TRBJ1-5	149	0.0034361883677
TRBV30-1.TRBJ1-4	50	0.00115308334486
TRBV7-1.TRBJ1-1	1	2.30616668973e-05
TRBV20-1.TRBJ2-3	18	0.000415110004151
TRBV6-8.TRBJ2-5	1	2.30616668973e-05
TRBV6-8.TRBJ2-7	2	4.61233337946e-05
TRBV6-8.TRBJ2-2	1	2.30616668973e-05
TRBV6-8.TRBJ1-6	2	4.61233337946e-05
TRBV20-1.TRBJ2-1	34	0.000784096674508
TRBV6-8.TRBJ1-4	1	2.30616668973e-05
TRBV19-1.TRBJ2-7	500	0.0115308334486
TRBV19-1.TRBJ2-6	45	0.00103777501038
TRBV19-1.TRBJ2-5	161	0.00371292837046
TRBV19-1.TRBJ2-4	45	0.00103777501038
TRBV19-1.TRBJ2-3	199	0.00458927171256
TRBV19-1.TRBJ2-2	187	0.00431253170979
TRBV19-1.TRBJ2-1	260	0.00599603339329
TRBV11-2.TRBJ1-6	41	0.000945528342789
TRBV6-9.TRBJ2-5	2	4.61233337946e-05
TRBV6-9.TRBJ2-7	4	9.22466675891e-05
TRBV6-9.TRBJ2-1	1	2.30616668973e-05
TRBV6-9.TRBJ2-3	1	2.30616668973e-05
TRBV12-1.TRBJ1-3	2	4.61233337946e-05
TRBV12-1.TRBJ1-2	3	6.91850006919e-05
TRBV12-1.TRBJ1-1	1	2.30616668973e-05
TRBV12-1.TRBJ1-5	2	4.61233337946e-05
TRBV12-1.TRBJ1-4	1	2.30616668973e-05
TRBV6-9.TRBJ1-3	2	4.61233337946e-05
TRBV6-9.TRBJ1-2	6	0.000138370001384
TRBV6-9.TRBJ1-1	3	6.91850006919e-05
TRBV19-1.TRBJ1-4	107	0.00246759835801
TRBV19-1.TRBJ1-5	318	0.00733361007334
TRBV19-1.TRBJ1-6	133	0.00306720169734
TRBV19-1.TRBJ1-1	405	0.0093399750934
TRBV19-1.TRBJ1-2	449	0.0103546884369
TRBV19-1.TRBJ1-3	118	0.00272127669388
TRBV5-4.TRBJ1-5	29	0.000668788340021
TRBV5-4.TRBJ1-4	63	0.00145288501453
TRBV5-4.TRBJ1-6	52	0.00119920667866
TRBV5-4.TRBJ1-1	136	0.00313638669803
TRBV5-4.TRBJ1-3	39	0.000899405008994
TRBV5-4.TRBJ1-2	224	0.00516581338499
TRBV5-4.TRBJ2-6	19	0.000438171671048
TRBV5-4.TRBJ2-7	204	0.00470458004705
TRBV5-4.TRBJ2-4	15	0.000345925003459
TRBV5-4.TRBJ2-5	138	0.00318251003183
TRBV5-4.TRBJ2-2	109	0.0025137216918
TRBV5-4.TRBJ2-3	155	0.00357455836908
TRBV5-4.TRBJ2-1	138	0.00318251003183
TRBV18-1.TRBJ1-1	188	0.00433559337669
TRBV18-1.TRBJ1-3	69	0.00159125501591
TRBV18-1.TRBJ1-2	180	0.00415110004151
TRBV18-1.TRBJ1-5	86	0.00198330335317
TRBV18-1.TRBJ1-4	48	0.00110696001107
TRBV18-1.TRBJ1-6	77	0.00177574835109
TRBV12-1.TRBJ2-1	5	0.000115308334486
TRBV12-1.TRBJ2-3	1	2.30616668973e-05
TRBV12-1.TRBJ2-5	1	2.30616668973e-05
TRBV12-1.TRBJ2-7	1	2.30616668973e-05
TRBV20-1.TRBJ2-4	3	6.91850006919e-05
TRBV20-1.TRBJ1-4	7	0.000161431668281
TRBV20-1.TRBJ1-5	2	4.61233337946e-05
TRBV20-1.TRBJ1-6	4	9.22466675891e-05
TRBV25-1.TRBJ2-5	39	0.000899405008994
TRBV25-1.TRBJ2-2	35	0.000807158341405
TRBV20-1.TRBJ1-1	54	0.00124533001245
TRBV18-1.TRBJ2-2	87	0.00200636502006
TRBV18-1.TRBJ2-3	109	0.0025137216918
TRBV18-1.TRBJ2-1	148	0.0034131267008
TRBV18-1.TRBJ2-6	21	0.000484295004843
TRBV6-5.TRBJ2-6	21	0.000484295004843
TRBV18-1.TRBJ2-4	23	0.000530418338638
TRBV18-1.TRBJ2-5	100	0.00230616668973
TRBV6-5.TRBJ2-7	401	0.00924772842581
TRBV29-1.TRBJ1-1	224	0.00516581338499
TRBV5-6.TRBJ1-3	60	0.00138370001384
TRBV29-1.TRBJ1-3	47	0.00108389834417
TRBV29-1.TRBJ1-2	270	0.00622665006227
TRBV29-1.TRBJ1-5	29	0.000668788340021
